md,rates,rates_err,yields,yields_err,theta,theta_err,q2,q2_err,asym,asym_err
1,0.0065598,5.3586e-05,0.82151,0.0073429,8.3552,0.0098487,0.029025,6.9891e-05,2.5878,0.00621
2,0.0064835,5.295e-05,0.82213,0.0073062,8.3749,0.0098657,0.02925,7.0249e-05,2.6078,0.0062335
3,0.0063988,5.2564e-05,0.80721,0.007228,8.3809,0.0098503,0.02925,7.023e-05,2.608,0.0062252
4,0.006487,5.3112e-05,0.79608,0.0071454,8.3797,0.0097151,0.029068,6.8953e-05,2.5918,0.0061217
5,0.0065351,5.3731e-05,0.81847,0.007389,8.3654,0.0098859,0.02885,6.9836e-05,2.5733,0.0061997
6,0.00668,5.4413e-05,0.84336,0.0075346,8.3671,0.0097722,0.028797,6.904e-05,2.5681,0.0061261
7,0.0066328,5.4254e-05,0.84247,0.0075458,8.36,0.0098278,0.028778,6.9425e-05,2.5658,0.0061689
8,0.0066729,5.4323e-05,0.83702,0.0074555,8.3515,0.0098108,0.028843,6.9392e-05,2.5733,0.0061577
