energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
 80.400,  90.00, 0.572, 0.623, 7.160e+01, 34.0, 2.650e-04
 71.100, 180.00, 0.714, 0.786, 7.790e-01, 22.0, 4.521e-06
100.400,  90.00, 0.715, 0.766, 4.410e+01,  6.8, 3.703e-04
102.200,  90.00, 0.728, 0.779, 7.090e+01,  3.9, 4.244e-04
 80.000, 180.00, 0.804, 0.876, 1.039e+00, 17.6, 7.639e-06
 84.948, 180.00, 0.854, 0.925, 8.820e-01, 10.0, 7.314e-06
126.900,  90.00, 0.904, 0.955, 5.330e+01,  5.3, 4.924e-04
 91.000, 180.00, 0.915, 0.986, 9.420e-01,  9.4, 8.969e-06
100.870, 180.00, 1.014, 1.086, 6.290e-01, 10.3, 7.364e-06
103.700, 160.00, 1.027, 1.097, 1.670e+00,  5.3, 6.441e-04
151.800,  90.00, 1.082, 1.132, 2.950e+01,  2.4, 3.904e-04
110.680, 180.00, 1.113, 1.184, 4.690e-01, 10.6, 6.616e-06
120.700, 160.00, 1.195, 1.266, 8.330e-01,  4.4, 4.359e-04
120.000, 180.00, 1.206, 1.278, 1.820e-01, 20.0, 3.020e-06
120.540, 180.00, 1.212, 1.283, 2.490e-01, 23.2, 4.169e-06
177.200,  90.00, 1.263, 1.313, 1.330e+01,  2.0, 2.401e-04
132.900, 160.00, 1.316, 1.386, 4.290e-01,  4.3, 2.725e-04
190.200,  90.00, 1.355, 1.406, 8.360e+00,  1.3, 1.739e-04
201.300,  90.00, 1.434, 1.485, 4.230e+00,  5.2, 9.862e-05
152.000, 160.00, 1.504, 1.575, 1.470e-01,  5.8, 1.223e-04
218.100,  90.00, 1.553, 1.604, 1.820e+00,  4.9, 4.785e-05
159.780, 180.00, 1.605, 1.677, 1.220e-01, 24.0, 3.600e-06
168.200, 160.00, 1.664, 1.734, 1.210e-01,  8.0, 1.235e-04
170.400, 180.00, 1.711, 1.783, 1.211e-01, 35.5, 4.068e-06
246.600,  90.00, 1.756, 1.806, 4.150e-01,  8.6, 1.455e-05
179.611, 180.00, 1.803, 1.875, 1.854e-01, 15.1, 6.925e-06
270.000,  90.00, 1.922, 1.972, 1.760e-01,  9.7, 7.403e-06
196.400, 180.00, 1.971, 2.043, 1.090e-01,  9.9, 4.874e-06
297.800,  90.00, 2.117, 2.167, 2.100e-01,  6.5, 1.074e-05
220.460, 180.00, 2.211, 2.282, 9.120e-02, 17.6, 5.148e-06
319.400,  90.00, 2.272, 2.322, 1.670e-01,  5.5, 9.849e-06
339.100,  90.00, 2.411, 2.462, 9.650e-02,  8.2, 6.420e-06
258.911, 160.00, 2.555, 2.625, 2.510e-02, 20.0, 6.112e-05
280.000, 180.00, 2.803, 2.874, 4.830e-03, 39.1, 4.419e-07
