energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
 80.400,  90.00, 0.566, 0.616, 6.290e+01, 18.0, 2.331e-04
 60.278, 180.00, 0.596, 0.666, 8.210e-01, 22.5, 3.421e-06
108.400,  90.00, 0.708, 0.759, 4.130e+01,  6.3, 2.388e-04
102.200,  90.00, 0.721, 0.772, 4.430e+01,  5.1, 3.654e-04
 80.000, 180.00, 0.794, 0.865, 1.182e+00,  9.6, 8.698e-06
 84.948, 180.00, 0.844, 0.915, 1.328e+00,  7.1, 1.101e-05
126.900,  90.00, 0.898, 0.948, 3.560e+01,  2.7, 3.291e-04
 91.000, 180.00, 0.905, 0.976, 1.200e+00,  7.3, 1.143e-05
100.870, 180.00, 1.005, 1.075, 9.280e-01,  7.6, 1.086e-05
103.700, 160.00, 1.017, 1.087, 1.690e+00,  3.2, 6.522e-04
151.800,  90.00, 1.075, 1.125, 2.150e+01,  2.1, 2.846e-04
110.680, 180.00, 1.103, 1.174, 7.240e-01,  9.1, 1.021e-05
120.700, 160.00, 1.186, 1.256, 9.940e-01,  2.6, 5.204e-04
120.000, 180.00, 1.197, 1.268, 5.100e-01, 11.0, 8.463e-06
120.540, 180.00, 1.202, 1.273, 4.730e-01, 12.7, 7.920e-06
177.200,  90.00, 1.256, 1.306, 1.210e+01,  2.2, 2.188e-04
132.900, 160.00, 1.306, 1.376, 5.890e-01,  3.2, 3.742e-04
131.690, 180.00, 1.314, 1.385, 3.080e-01, 17.4, 6.101e-06
190.200,  90.00, 1.348, 1.399, 9.030e+00,  1.3, 1.879e-04
140.220, 180.00, 1.400, 1.471, 1.720e-01, 19.6, 3.903e-06
201.300,  90.00, 1.427, 1.478, 5.630e+00,  3.7, 1.313e-04
152.000, 160.00, 1.495, 1.565, 2.570e-01,  3.6, 2.139e-04
218.100,  90.00, 1.547, 1.597, 3.580e+00,  3.2, 9.808e-05
159.780, 180.00, 1.596, 1.667, 6.040e-02, 31.0, 1.783e-06
168.200, 160.00, 1.655, 1.723, 1.820e-01,  5.8, 1.581e-04
170.400, 180.00, 1.702, 1.772, 8.660e-02, 36.6, 2.909e-06
246.600,  90.00, 1.749, 1.800, 1.620e+00,  3.8, 5.680e-05
179.611, 180.00, 1.794, 1.865, 1.443e-01, 13.8, 5.390e-06
270.000,  90.00, 1.915, 1.966, 8.770e-01,  3.5, 3.690e-05
196.400, 180.00, 1.962, 2.033, 8.250e-02, 11.0, 3.689e-06
297.500,  90.00, 2.110, 2.161, 4.030e-01,  4.6, 2.061e-05
220.460, 180.00, 2.202, 2.273, 6.775e-02, 19.0, 3.825e-06
319.400,  90.00, 2.265, 2.316, 1.960e-01,  4.7, 1.156e-05
339.100,  90.00, 2.405, 2.455, 7.850e-02,  9.0, 5.224e-06
258.911, 160.00, 2.546, 2.614, 1.430e-02, 23.0, 3.483e-05
280.000, 180.00, 2.793, 2.864, 2.310e-03, 80.0, 2.113e-07

