energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.370,  90.00, 0.693, 0.742, 3.857e+01,  6.1, 2.240e-04
177.200,  90.00, 1.240, 1.290, 1.465e+01,  2.5, 2.650e-04
190.200,  90.00, 1.333, 1.383, 1.257e+01, 10.0, 2.620e-04
201.300,  90.00, 1.412, 1.462, 7.963e+00,  3.6, 1.860e-04
218.100,  90.00, 1.531, 1.581, 3.361e+00,  3.4, 9.220e-05
246.600,  90.00, 1.733, 1.783, 7.834e-01,  7.4, 2.750e-05
270.000,  90.00, 1.899, 1.950, 1.662e-01,100.0, 7.000e-06
297.400,  90.00, 2.094, 2.144, 1.672e-01, 25.0, 8.550e-06
319.400,  90.00, 2.249, 2.300, 8.469e-02,100.0, 5.000e-06
339.100,  90.00, 2.389, 2.439, 3.754e-02,100.0, 2.500e-06
