energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.370,  90.00, 0.695, 0.745, 1.039e+01, 19.0, 6.030e-05
177.200,  90.00, 1.243, 1.293, 6.968e+00,  2.7, 1.260e-04
190.200,  90.00, 1.338, 1.388, 4.942e+00,  6.0, 1.030e-04
201.300,  90.00, 1.414, 1.464, 3.833e+00,  5.3, 8.950e-05
218.100,  90.00, 1.534, 1.584, 2.359e+00,  4.1, 6.470e-05
246.600,  90.00, 1.736, 1.786, 1.128e+00,  5.9, 3.960e-05
270.000,  90.00, 1.902, 1.952, 5.201e-01,  7.1, 2.190e-05
297.400,  90.00, 2.096, 2.146, 1.825e-01,  8.8, 9.330e-06
319.400,  90.00, 2.252, 2.302, 6.621e-02, 30.0, 3.910e-06
339.100,  90.00, 2.391, 2.442, 4.810e-02, 70.0, 2.670e-06
