energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.370,  90.00, 0.696, 0.746, 1.047e+01, 31.0, 6.070e-05
151.800,  90.00, 1.063, 1.113, 7.810e+00,  3.0, 1.036e-04
177.200,  90.00, 1.244, 1.294, 5.540e+00,  4.7, 1.002e-04
190.200,  90.00, 1.336, 1.386, 4.150e+00,  4.8, 8.647e-05
201.300,  90.00, 1.415, 1.465, 2.350e+00,  5.2, 5.487e-05
218.100,  90.00, 1.535, 1.585, 1.130e+00,  8.7, 3.099e-05
246.600,  90.00, 1.737, 1.787, 2.990e-01, 13.0, 1.049e-05
270.000,  90.00, 1.903, 1.953, 6.520e-02, 17.0, 2.745e-06
297.500,  90.00, 2.098, 2.148, 6.150e-03,100.0, 3.147e-07
319.400,  90.00, 2.253, 2.303, 2.160e-02, 18.0, 1.275e-06
339.100,  90.00, 2.393, 2.443, 8.420e-03, 35.0, 5.606e-07
