energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.699, 0.749, 5.140e+01,  9.0, 2.979e-04
126.900,  90.00, 0.888, 0.938, 2.500e+01,  4.9, 2.315e-04
151.800,  90.00, 1.066, 1.116, 1.600e+01,  3.6, 2.121e-04
177.200,  90.00, 1.246, 1.296, 7.900e+00,  4.7, 1.428e-04
190.200,  90.00, 1.339, 1.389, 5.160e+00,  8.4, 1.075e-04
201.300,  90.00, 1.418, 1.468, 3.200e+00,  8.1, 7.469e-05
218.100,  90.00, 1.537, 1.587, 1.700e+00,  8.6, 4.661e-05
246.600,  90.00, 1.740, 1.790, 8.020e-01, 13.0, 2.814e-05
270.000,  90.00, 1.906, 1.956, 4.610e-01, 15.0, 1.941e-05
297.500,  90.00, 2.101, 2.151, 2.480e-01, 29.0, 1.269e-05
319.400,  90.00, 2.256, 2.306, 1.290e-01, 19.0, 7.613e-06
339.100,  90.00, 2.395, 2.445, 5.930e-02, 12.0, 3.948e-06
