energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.702, 0.752, 1.200e+01, 17.0, 6.949e-05
102.200,  90.00, 0.715, 0.765, 1.090e+01, 11.0, 6.540e-05
 75.220, 180.00, 0.737, 0.807, 3.140e-01, 30.0, 2.040e-06
126.900,  90.00, 0.891, 0.941, 1.130e+01,  4.8, 1.046e-04
103.700, 160.00, 1.008, 1.078, 6.980e-01,  9.0, 2.696e-04
151.800,  90.00, 1.069, 1.119, 1.020e+01,  2.5, 1.351e-04
177.200,  90.00, 1.249, 1.300, 8.590e+00,  2.3, 1.552e-04
190.200,  90.00, 1.342, 1.392, 8.040e+00,  2.0, 1.674e-04
201.300,  90.00, 1.421, 1.471, 6.140e+00,  4.0, 1.433e-04
218.100,  90.00, 1.540, 1.591, 5.140e+00,  3.0, 1.409e-04
246.600,  90.00, 1.743, 1.793, 3.260e+00,  2.8, 1.143e-04
270.000,  90.00, 1.909, 1.959, 1.580e+00,  3.2, 6.650e-05
297.500,  90.00, 2.104, 2.154, 6.070e-01,  3.9, 3.105e-05
319.400,  90.00, 2.259, 2.309, 2.520e-01,  4.6, 1.487e-05
339.100,  90.00, 2.398, 2.448, 8.270e-02,  7.7, 5.505e-06
