energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.698, 0.748, 2.320e+01,  8.4, 1.345e-04
151.800,  90.00, 1.065, 1.115, 8.310e+00,  3.0, 1.102e-04
177.200,  90.00, 1.246, 1.296, 4.210e+00,  4.2, 7.610e-05
190.200,  90.00, 1.338, 1.388, 2.770e+00,  3.3, 5.771e-05
201.300,  90.00, 1.417, 1.467, 1.490e+00,  7.2, 3.478e-05
218.100,  90.00, 1.536, 1.587, 7.430e-01,  7.8, 2.037e-05
246.600,  90.00, 1.739, 1.789, 1.980e-01, 15.0, 6.947e-06
270.000,  90.00, 1.905, 1.955, 4.600e-02, 26.0, 1.936e-06
297.500,  90.00, 2.100, 2.150, 1.750e-02, 67.0, 8.953e-07
319.400,  90.00, 2.255, 2.305, 2.810e-02, 17.0, 1.658e-06
339.100,  90.00, 2.394, 2.445, 1.630e-02, 26.0, 1.085e-06
