energy,const,const_err,mean_value,mean_err,sigma,sigma_err,chi2,dof,rchi2,residual_avg,residual_avg_err
0.844,0.0004783697851812226,1.9713849867454354e-05,0.9599765540644932,0.019271140050269985,0.3071582425524647,0.01231347314036166,29.937707885066686,6,4.989617980844447,-0.3925456360342702,1.625299933171614
1.014,0.0007192712354679728,3.777755371818085e-05,0.9049045544876411,0.023371896666666118,0.2814527781917398,0.013378818866996673,66.60957203200986,6,11.10159533866831,0.5456819714252136,2.104469387864331
2.211,0.0023511552871060106,5.8436898408280584e-05,0.8895373311006513,0.007542694174294646,-0.26474846104226957,0.004410222884020471,318.8851362692059,20,15.944256813460294,0.27898285955951285,0.9725555790526806
2.735,0.00031833332610021147,8.181681408982486e-06,0.9614569402203258,0.023720725657720373,0.41385845424172196,0.01949205743291343,53.735563536090844,18,2.9853090853383804,0.7220405404962286,1.203403872905138
2.990,0.0016646875147450866,3.3037075460417275e-05,0.9577089894509148,0.006056083260172431,-0.2999183305171573,0.004712741504990113,146.82367472325097,21,6.991603558250047,0.24353519411331076,0.8439136586851935
4.580,0.00015933100160150983,3.1168308170192986e-06,1.3895748613140881,0.015615336896463574,0.4825381732465229,0.0240436944118652,14.054944510511728,6,2.3424907517519546,-0.09630635744265874,1.3898577024216483
4.812,0.00023001975526340762,0.0002283162978391925,0.2535563522184836,0.8879891312007095,0.5944415416755683,0.32598164594176665,4.3769735451931515,1,4.3769735451931515,0.754527290085268,4.401006891438622
5.430,0.00026868823545927507,2.8987911346597006e-05,0.7792556711926373,0.10423538369556683,0.44656556232806155,0.05043318768884952,14.417637509680107,5,2.8835275019360216,1.1563975147571952,3.0654414413649107
5.668,0.00013748266091699718,1.0248625478910091e-05,0.891232948354509,0.04858345159595189,-0.3635917718881459,0.02326469769772611,10.117905108189547,4,2.5294762770473866,0.7833283505476657,2.5504440283805496
7.228,0.00035618657716564187,2.5932205219381905e-05,1.059160156740491,0.027329636805084816,-0.32182048196950735,0.015980816454238496,19.346473195494884,3,6.448824398498295,4.968244894083496,3.0872735066335513
7.477,0.00021019151388337976,3.30459865000176e-05,1.0784615624740306,0.04194515821765387,-0.29941925999281016,0.026921584688041938,7.326824967615895,1,7.326824967615895,-0.7825702146492386,6.508747755941874
