energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.699, 0.748, 2.990e+00, 56.0, 1.733e-05
151.800,  90.00, 1.065, 1.115, 4.700e+00,  4.7, 6.230e-05
177.200,  90.00, 1.246, 1.296, 4.490e+00,  4.2, 8.115e-05
190.200,  90.00, 1.339, 1.389, 4.770e+00,  3.4, 9.936e-05
201.300,  90.00, 1.418, 1.468, 3.740e+00,  4.8, 8.730e-05
218.100,  90.00, 1.537, 1.587, 2.710e+00,  3.7, 7.430e-05
246.600,  90.00, 1.739, 1.790, 1.500e+00,  4.2, 5.263e-05
270.000,  90.00, 1.905, 1.956, 7.630e-01,  4.4, 3.212e-05
297.500,  90.00, 2.100, 2.151, 2.270e-01, 12.0, 1.161e-05
319.400,  90.00, 2.256, 2.306, 8.500e-02, 26.0, 5.016e-06
339.100,  90.00, 2.395, 2.445, 5.050e-02, 16.0, 3.362e-06
