energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.700, 0.749, 1.600e+01, 12.0, 9.272e-05
126.900,  90.00, 0.889, 0.939, 6.100e+00,  6.9, 5.647e-05
151.800,  90.00, 1.066, 1.116, 2.230e+00,  6.2, 2.955e-05
120.740, 160.00, 1.174, 1.243, 2.460e-01, 17.4, 1.290e-04
177.200,  90.00, 1.247, 1.297, 7.190e-01,  9.7, 1.299e-05
132.870, 160.00, 1.294, 1.363, 7.290e-02, 33.0, 4.633e-05
190.200,  90.00, 1.340, 1.390, 6.860e-01,  7.9, 1.429e-05
201.300,  90.00, 1.418, 1.469, 8.160e-01, 13.0, 1.905e-05
152.050, 160.00, 1.483, 1.552, 1.200e-01,100.0, 1.000e-04
218.100,  90.00, 1.538, 1.588, 9.010e-01,  7.2, 2.470e-05
168.200, 160.00, 1.642, 1.712, 1.000e-01,100.0, 1.021e-04
246.600,  90.00, 1.740, 1.791, 7.800e-01,  5.6, 2.736e-05
270.000,  90.00, 1.906, 1.957, 4.670e-01,  5.9, 1.966e-05
297.500,  90.00, 2.101, 2.152, 1.980e-01,  5.9, 1.013e-05
319.400,  90.00, 2.256, 2.307, 5.690e-02, 11.0, 3.358e-06
339.100,  90.00, 2.396, 2.446, 2.340e-02, 15.0, 1.558e-06
