energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.704, 0.754, 7.120e+00, 29.0, 4.121e-05
102.200,  90.00, 0.717, 0.767, 3.860e+00, 31.0, 2.315e-05
 75.205, 180.00, 0.740, 0.810, 2.263e-01, 35.0, 1.470e-06
126.900,  90.00, 0.893, 0.943, 6.800e+00,  8.2, 6.290e-05
103.700, 160.00, 1.011, 1.080, 3.570e-01, 11.0, 1.378e-04
151.800,  90.00, 1.070, 1.121, 6.730e+00,  4.0, 8.914e-05
120.700, 160.00, 1.179, 1.249, 3.290e-01,  5.4, 1.723e-04
120.000, 180.00, 1.190, 1.261, 1.340e-01, 22.0, 2.224e-06
177.200,  90.00, 1.251, 1.301, 5.240e+00,  3.5, 9.465e-05
132.900, 160.00, 1.300, 1.369, 2.730e-01,  4.8, 1.735e-04
190.200,  90.00, 1.344, 1.394, 4.570e+00,  1.9, 9.515e-05
201.300,  90.00, 1.423, 1.473, 3.130e+00,  4.8, 7.303e-05
152.000, 160.00, 1.488, 1.558, 1.310e-01,  8.7, 1.091e-04
218.100,  90.00, 1.542, 1.592, 2.100e+00,  4.1, 5.755e-05
159.780, 180.00, 1.589, 1.660, 1.090e-01, 25.0, 3.217e-05
168.200, 160.00, 1.648, 1.718, 9.590e-02,  8.1, 9.790e-05
246.600,  90.00, 1.745, 1.795, 9.870e-01,  4.8, 3.462e-05
270.000,  90.00, 1.911, 1.961, 4.310e-01,  5.0, 1.814e-05
196.400, 180.00, 1.955, 2.026, 3.470e-02, 17.0, 1.552e-06
297.500,  90.00, 2.105, 2.156, 1.290e-01,  8.4, 6.598e-06
319.400,  90.00, 2.261, 2.311, 4.760e-02, 11.0, 2.809e-06
339.100,  90.00, 2.400, 2.450, 1.980e-02, 18.0, 1.318e-06
