energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
 80.400,  90.00, 0.572, 0.622, 1.770e+02, 14.0, 6.552e-04
 71.100, 180.00, 0.713, 0.785, 1.420e+00, 14.0, 8.240e-06
100.400,  90.00, 0.715, 0.765, 1.210e+02,  4.2, 6.990e-04
102.200,  90.00, 0.727, 0.778, 1.070e+02,  2.8, 6.405e-04
 80.000, 180.00, 0.803, 0.875, 6.610e-01, 26.4, 4.860e-06
 84.948, 180.00, 0.853, 0.924, 6.610e-01, 12.2, 5.481e-06
126.900,  90.00, 0.904, 0.954, 7.290e+01,  4.5, 6.735e-04
 91.000, 180.00, 0.914, 0.985, 6.220e-01, 13.6, 5.922e-06
100.870, 180.00, 1.013, 1.085, 4.850e-01, 13.0, 5.678e-06
103.700, 160.00, 1.026, 1.096, 1.650e+00,  5.3, 6.364e-04
151.800,  90.00, 1.081, 1.132, 3.720e+01,  2.2, 4.923e-04
110.680, 180.00, 1.112, 1.183, 2.560e-01, 19.1, 3.611e-06
120.700, 160.00, 1.194, 1.265, 8.520e-01,  4.4, 4.459e-04
120.000, 180.00, 1.205, 1.277, 2.020e-01, 19.0, 3.352e-06
120.540, 180.00, 1.211, 1.282, 1.228e-01, 47.3, 2.056e-06
177.200,  90.00, 1.262, 1.313, 1.370e+01,  2.0, 2.473e-04
132.900, 160.00, 1.315, 1.385, 3.710e-01,  4.8, 2.356e-04
131.690, 180.00, 1.323, 1.394, 1.250e-01, 32.0, 2.500e-06
190.200,  90.00, 1.354, 1.405, 7.570e+00,  1.4, 1.575e-04
140.220, 180.00, 1.408, 1.480, 1.450e-01, 25.1, 3.291e-06
201.300,  90.00, 1.433, 1.484, 3.390e+00,  5.7, 7.904e-05
152.000, 160.00, 1.503, 1.574, 1.430e-01,  5.9, 1.190e-04
218.100,  90.00, 1.553, 1.603, 8.660e-01,  7.6, 2.372e-05
159.780, 180.00, 1.604, 1.676, 4.770e-02, 51.0, 1.408e-06
168.200, 160.00, 1.663, 1.734, 1.000e-01,  9.2, 1.020e-04
170.400, 180.00, 1.710, 1.782, 1.007e-01, 37.4, 3.383e-06
246.600,  90.00, 1.755, 1.806, 2.800e-01, 11.0, 9.815e-06
179.611, 180.00, 1.803, 1.874, 1.084e-01, 22.6, 4.049e-06
270.000,  90.00, 1.921, 1.972, 4.440e-01,  5.3, 1.868e-05
196.400, 180.00, 1.970, 2.042, 1.050e-01, 11.0, 4.695e-06
297.500,  90.00, 2.116, 2.167, 3.840e-01,  4.4, 1.963e-05
220.460, 180.00, 2.210, 2.282, 4.420e-02, 34.7, 2.495e-06
319.400,  90.00, 2.271, 2.322, 2.490e-01,  4.3, 1.469e-05
339.100,  90.00, 2.411, 2.461, 1.270e-01,  7.0, 8.449e-06
258.911, 160.00, 2.554, 2.624, 9.640e-03, 53.0, 2.347e-05
280.000, 180.00, 2.802, 2.873, 2.780e-04,600.0, 2.543e-08
