energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.703, 0.752, 2.250e+00,100.0, 1.303e-05
102.200,  90.00, 0.715, 0.765, 3.380e+00, 32.0, 2.028e-05
 75.220, 180.00, 0.738, 0.808, 8.560e-01, 11.4, 5.562e-06
126.900,  90.00, 0.892, 0.942, 2.810e+00, 13.0, 2.600e-05
103.700, 160.00, 1.009, 1.078, 5.740e-01,  7.6, 2.217e-04
151.800,  90.00, 1.069, 1.119, 2.000e+00,  6.9, 2.649e-05
120.740, 160.00, 1.178, 1.247, 5.540e-01,  7.2, 2.904e-04
177.200,  90.00, 1.250, 1.300, 1.420e+00,  6.2, 2.565e-05
132.870, 160.00, 1.298, 1.367, 3.510e-01,  5.8, 2.230e-04
190.200,  90.00, 1.342, 1.393, 1.090e+00,  5.6, 2.270e-05
201.300,  90.00, 1.421, 1.472, 8.910e-01, 13.0, 2.079e-05
152.050, 160.00, 1.487, 1.557, 1.385e-01, 17.5, 1.154e-04
218.100,  90.00, 1.541, 1.591, 6.610e-01,  9.0, 1.812e-05
159.780, 180.00, 1.587, 1.658, 4.460e-02, 44.7, 1.316e-06
168.200, 160.00, 1.646, 1.716, 1.235e-01, 13.2, 1.261e-04
246.600,  90.00, 1.743, 1.794, 3.710e-01,  9.2, 1.301e-05
270.000,  90.00, 1.909, 1.960, 2.330e-01,  8.7, 9.806e-06
196.380, 180.00, 1.953, 2.024, 3.740e-02, 53.0, 1.672e-06
297.500,  90.00, 2.104, 2.155, 7.650e-02, 13.0, 3.913e-06
319.400,  90.00, 2.259, 2.310, 3.970e-02, 14.0, 2.343e-06
339.100,  90.00, 2.399, 2.449, 5.700e-03, 43.0, 3.794e-07
