energy,theta,Q,Q_eff,F_el_squared,A_in_ratio,A_in_percent_err,F_in_squared,F_in_squared_err
61.99,59.9,0.313,0.349,0.7709,0.000342,6.1,0.000264,0.000016
64.4,75,0.397,0.441,0.6267,0.000995,5.1,0.000624,0.000032
61.99,105.7,0.499,0.556,0.4497,0.00241,7.6,0.001084,0.000082
111.91,58.9,0.557,0.592,0.3593,0.00399,7.2,0.001434,0.000103
111.93,69.9,0.648,0.689,0.2389,0.00787,8.2,0.001880,0.000154
111.9,76.2,0.699,0.744,0.1853,0.0109,5.2,0.002020,0.000105
111.96,82.8,0.748,0.796,0.1396,0.0159,5.2,0.002220,0.000115
111.95,89.8,0.797,0.848,0.1022,0.0219,5.2,0.002238,0.000116
111.92,97.2,0.847,0.901,0.07277,0.0319,5.9,0.002321,0.000137
82.25,145,0.847,0.920,0.0683,0.0336,7.3,0.002295,0.000168
111.98,105.2,0.897,0.954,0.0497,0.043,6.5,0.002137,0.000139
111.9,114.1,0.946,1.006,0.03267,0.0634,7.7,0.002071,0.000159
111.88,124.2,0.995,1.058,0.02034,0.0954,7.8,0.001940,0.000151
111.82,136.5,1.045,1.112,0.01184,0.145,8.6,0.001717,0.000148
