energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.702, 0.752, 1.750e+00,100.0, 1.013e-05
102.200,  90.00, 0.715, 0.765, 1.250e+00,100.0, 7.500e-06
 75.220, 180.00, 0.737, 0.807, 8.000e-02,100.0, 5.198e-07
126.900,  90.00, 0.891, 0.941, 4.920e+00,  8.1, 4.552e-05
151.800,  90.00, 1.069, 1.119, 7.210e+00,  3.0, 9.552e-05
177.200,  90.00, 1.250, 1.300, 8.210e+00,  2.4, 1.483e-04
190.200,  90.00, 1.342, 1.392, 7.660e+00,  2.0, 1.595e-04
201.300,  90.00, 1.421, 1.471, 6.110e+00,  4.1, 1.426e-04
218.100,  90.00, 1.540, 1.591, 5.130e+00,  3.0, 1.406e-04
246.600,  90.00, 1.743, 1.793, 2.850e+00,  3.1, 9.997e-05
270.000,  90.00, 1.909, 1.959, 1.450e+00,  3.3, 6.102e-05
297.500,  90.00, 2.104, 2.154, 4.310e-01,  5.0, 2.205e-05
319.400,  90.00, 2.259, 2.309, 1.350e-01,  7.5, 7.966e-06
339.100,  90.00, 2.398, 2.449, 3.470e-02, 15.0, 2.310e-06
