energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.701, 0.751, 2.620e+01,  8.3, 1.518e-04
 75.220, 180.00, 0.736, 0.806, 2.165e-01, 40.6, 1.407e-06
126.900,  90.00, 0.890, 0.940, 1.360e+01,  4.2, 1.259e-04
103.700, 160.00, 1.007, 1.076, 1.990e-01, 18.0, 7.687e-05
151.800,  90.00, 1.068, 1.118, 5.800e+00,  3.5, 7.685e-05
120.740, 160.00, 1.176, 1.245, 1.650e-01, 24.8, 8.651e-05
177.200,  90.00, 1.249, 1.299, 2.770e+00,  4.3, 5.005e-05
132.870, 160.00, 1.296, 1.365, 1.970e-01,  8.4, 1.252e-04
190.200,  90.00, 1.341, 1.391, 2.680e+00,  3.0, 5.581e-05
201.300,  90.00, 1.420, 1.470, 2.730e+00,  6.4, 6.371e-05
152.050, 160.00, 1.485, 1.555, 1.391e-01, 17.5, 1.159e-04
218.100,  90.00, 1.539, 1.590, 2.660e+00,  4.1, 7.291e-05
159.780, 180.00, 1.585, 1.656, 6.840e-02, 33.1, 2.019e-06
168.200, 160.00, 1.644, 1.714, 1.364e-01, 11.5, 1.393e-04
246.600,  90.00, 1.742, 1.792, 1.990e+00,  3.6, 6.981e-05
270.000,  90.00, 1.908, 1.958, 1.130e+00,  3.6, 4.756e-05
196.380, 180.00, 1.951, 2.022, 1.524e-02, 60.5, 6.814e-07
297.500,  90.00, 2.103, 2.153, 4.680e-01,  4.2, 2.394e-05
319.400,  90.00, 2.258, 2.308, 2.010e-01,  4.6, 1.186e-05
339.100,  90.00, 2.397, 2.448, 6.520e-02,  8.2, 4.340e-06
