energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.370,  90.00, 0.695, 0.744, 2.551e+01,  8.8, 1.480e-04
177.200,  90.00, 1.242, 1.292, 1.045e+01,  2.2, 1.890e-04
190.200,  90.00, 1.335, 1.385, 7.005e+00,  4.3, 1.460e-04
201.300,  90.00, 1.414, 1.464, 4.625e+00,  4.9, 1.080e-04
218.100,  90.00, 1.533, 1.583, 2.246e+00,  4.4, 6.160e-05
246.600,  90.00, 1.735, 1.786, 4.246e-01, 10.4, 1.490e-05
270.000,  90.00, 1.901, 1.952, 1.605e-01, 10.2, 6.760e-06
297.400,  90.00, 2.096, 2.146, 1.173e-01, 10.4, 6.000e-06
319.400,  90.00, 2.251, 2.302, 6.810e-02, 15.0, 4.020e-06
339.100,  90.00, 2.391, 2.441, 6.067e-02, 15.0, 4.040e-06
