energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.704, 0.754, 1.500e+00,100.0, 8.681e-06
102.200,  90.00, 0.717, 0.767, 1.250e+00,100.0, 7.496e-06
 75.220, 180.00, 0.740, 0.810, 8.942e-02, 50.0, 5.810e-07
126.900,  90.00, 0.893, 0.943, 2.600e-01,100.0, 2.405e-06
103.700, 160.00, 1.011, 1.081, 1.650e-02,100.0, 6.370e-06
151.800,  90.00, 1.071, 1.121, 2.350e-01, 58.0, 3.112e-06
120.700, 160.00, 1.180, 1.249, 2.290e-02, 71.0, 1.199e-05
177.200,  90.00, 1.252, 1.302, 9.250e-02, 64.0, 1.671e-06
132.900, 160.00, 1.300, 1.370, 1.250e-02,100.0, 7.945e-06
190.200,  90.00, 1.344, 1.394, 1.730e-01, 22.0, 3.602e-06
201.300,  90.00, 1.423, 1.473, 1.510e-01, 32.0, 3.523e-06
152.000, 160.00, 1.489, 1.559, 7.500e-03,100.0, 6.245e-06
218.100,  90.00, 1.542, 1.593, 5.960e-02, 45.0, 1.633e-06
168.200, 160.00, 1.649, 1.718, 6.000e-03,100.0, 6.125e-06
246.600,  90.00, 1.745, 1.795, 7.490e-02, 24.0, 2.627e-06
270.000,  90.00, 1.911, 1.961, 4.850e-02, 20.0, 2.041e-06
297.500,  90.00, 2.106, 2.156, 4.260e-02, 20.0, 2.179e-06
319.400,  90.00, 2.261, 2.311, 1.060e-02, 32.0, 6.254e-07
339.100,  90.00, 2.400, 2.451, 8.720e-03, 31.0, 5.804e-07
