energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.370,  90.00, 0.694, 0.743, 1.723e+00,100.0, 1.000e-05
177.200,  90.00, 1.241, 1.291, 8.514e-01,  9.1, 1.540e-05
190.200,  90.00, 1.334, 1.384, 3.824e-01, 30.0, 7.970e-06
201.300,  90.00, 1.413, 1.463, 5.052e-01, 15.2, 1.180e-05
218.100,  90.00, 1.532, 1.582, 2.206e-01, 16.6, 6.050e-06
246.600,  90.00, 1.734, 1.784, 1.387e-01, 27.0, 4.870e-06
270.000,  90.00, 1.900, 1.951, 3.396e-02, 35.0, 1.430e-06
297.400,  90.00, 2.095, 2.145, 5.807e-02, 35.0, 2.970e-06
319.400,  90.00, 2.250, 2.301, 1.999e-02, 40.0, 1.180e-06
339.100,  90.00, 2.390, 2.440, 2.553e-02, 30.0, 1.700e-06
