energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
100.400,  90.00, 0.700, 0.750, 1.170e+01, 16.0, 6.779e-05
 75.220, 180.00, 0.738, 0.804, 1.169e+00,  6.8, 7.595e-06
126.900,  90.00, 0.889, 0.939, 6.470e+00,  6.8, 5.989e-05
151.800,  90.00, 1.067, 1.117, 5.140e+00,  3.6, 6.812e-05
177.200,  90.00, 1.247, 1.297, 3.490e+00,  3.6, 6.307e-05
190.200,  90.00, 1.340, 1.390, 2.990e+00,  2.6, 6.228e-05
201.300,  90.00, 1.419, 1.469, 2.010e+00,  7.3, 4.691e-05
218.100,  90.00, 1.538, 1.588, 1.250e+00,  6.1, 3.427e-05
246.600,  90.00, 1.741, 1.791, 6.790e-01,  6.5, 2.382e-05
270.000,  90.00, 1.907, 1.957, 2.730e-01,  8.3, 1.149e-05
297.500,  90.00, 2.102, 2.152, 1.250e-01,  8.3, 6.394e-06
319.400,  90.00, 2.257, 2.307, 3.770e-02, 16.0, 2.225e-06
339.100,  90.00, 2.396, 2.446, 2.210e-02, 16.0, 1.471e-06
