energy,theta,Q,Q_eff,xsection,xsection_err,f_total_sq
 80.400,  90.00, 0.565, 0.615, 2.960e+02,  6.5, 1.097e-03
100.400,  90.00, 0.708, 0.758, 2.440e+02,  1.7, 1.411e-03
102.200,  90.00, 0.720, 0.771, 2.390e+02,  2.1, 1.432e-03
 84.948, 180.00, 0.843, 0.914, 6.340e-01, 10.5, 5.250e-06
126.900,  90.00, 0.897, 0.947, 1.810e+02,  1.5, 1.673e-03
 91.000, 180.00, 0.904, 0.975, 5.460e-01, 14.5, 5.198e-06
100.870, 180.00, 1.003, 1.074, 4.440e-01, 14.6, 5.198e-06
103.700, 160.00, 1.016, 1.086, 4.200e+00,  1.8, 1.621e-03
151.800,  90.00, 1.074, 1.124, 1.040e+02,  1.2, 1.377e-03
110.680, 180.00, 1.102, 1.173, 4.190e-01, 14.1, 5.910e-06
120.700, 160.00, 1.184, 1.254, 2.190e+00,  1.6, 1.147e-03
120.000, 180.00, 1.195, 1.266, 3.190e-01, 15.0, 5.294e-06
120.540, 180.00, 1.201, 1.272, 2.380e-01, 22.5, 3.985e-06
177.200,  90.00, 1.255, 1.305, 4.460e+01,  1.5, 8.054e-04
132.900, 160.00, 1.305, 1.375, 1.250e+00,  2.0, 7.942e-04
131.690, 180.00, 1.313, 1.384, 2.260e-01, 21.5, 4.521e-06
190.200,  90.00, 1.347, 1.398, 2.820e+01,  0.8, 5.870e-04
140.220, 180.00, 1.398, 1.469, 1.740e-01, 17.0, 3.949e-06
201.300,  90.00, 1.426, 1.477, 1.440e+01,  2.8, 3.359e-04
152.000, 160.00, 1.494, 1.564, 4.100e-01,  2.7, 3.413e-04
151.320, 180.00, 1.510, 1.581, 1.146e-01, 24.3, 3.031e-06
218.100,  90.00, 1.546, 1.596, 5.760e+00,  3.6, 1.578e-04
159.780, 180.00, 1.594, 1.665, 1.540e-01, 18.0, 4.545e-06
168.200, 160.00, 1.653, 1.723, 1.980e-01,  4.9, 2.021e-04
170.400, 180.00, 1.701, 1.772, 1.505e-01, 19.5, 5.056e-06
246.600,  90.00, 1.748, 1.799, 1.420e+00,  6.8, 4.979e-05
179.611, 180.00, 1.793, 1.864, 1.355e-01, 13.8, 5.061e-06
270.000,  90.00, 1.914, 1.965, 8.570e-01,  7.2, 3.606e-05
196.400, 180.00, 1.960, 2.031, 1.090e-01,  9.2, 4.874e-06
297.500,  90.00, 2.109, 2.160, 6.800e-01,  7.4, 3.477e-05
220.460, 180.00, 2.200, 2.271, 5.980e-02, 20.4, 3.376e-06
319.400,  90.00, 2.264, 2.315, 3.960e-01,  3.3, 2.336e-05
339.100,  90.00, 2.404, 2.454, 2.210e-01,  5.1, 1.471e-05
258.911, 160.00, 2.544, 2.614, 1.750e-02, 18.6, 4.262e-05
280.000, 180.00, 2.792, 2.863, 6.550e-03, 34.0, 5.992e-07

