avg,avg_err,chi2,dof,rchi2
rates,1.1812,0.0015776,11.42,7,1.6314
yields,148.73,0.21079,51.475,7,7.3535
theta,7.5706,0.0011435,14.544,7,2.0777
q2,0.023522,7.5367e-06,11.149,7,1.5928
asym,2.0812,0.00061348,13.93,7,1.99
